food_id,Dish Name,Calories (kcal),Carbohydrates (g),Protein (g),Fats (g),Free Sugar (g),Fibre (g),Sodium (mg),Calcium (mg),Iron (mg),Vitamin C (mg),Folate (µg),source
IND-0338,Minced meat samosa (Keema ka samosa),620.99,6.14,4.43,64.26,0.5,0.39,88.64,6.7,0.55,0.82,4.62,Indian Food Nutrition dataset provided by user
IND-0339,Paneer and pea samosa (Paneer matar ka samosa),623.81,8.55,4.02,63.65,1.69,1.02,78.18,64.56,0.53,6.67,26.39,Indian Food Nutrition dataset provided by user
IND-0340,Mathri,805.12,12.32,1.75,83.1,0.29,0.6,64.7,5.23,0.43,0.0,2.38,Indian Food Nutrition dataset provided by user
IND-0341,Khasta kachori,712.73,12.81,2.51,72.27,0.34,0.97,90.56,7.84,0.59,0.86,6.38,Indian Food Nutrition dataset provided by user
IND-0342,Vegetable cutlet,665.45,4.68,1.25,71.33,0.35,0.93,85.38,13.55,0.4,16.89,30.52,Indian Food Nutrition dataset provided by user
IND-0343,Flattened rice cutlet (Chirwa cutlet/Chivda cutlet/Poha cutlet),701.71,7.39,1.76,73.89,0.27,0.86,76.65,9.17,0.59,12.63,23.98,Indian Food Nutrition dataset provided by user
IND-0344,Peanut cutlet (Mungfali ke cutlet),698.77,5.68,2.63,74.0,0.51,1.21,84.24,14.38,0.56,12.63,38.52,Indian Food Nutrition dataset provided by user
IND-0345,Fish cutlet (Machli ka cutlet),654.64,3.13,2.77,70.11,0.29,0.54,75.33,10.44,0.36,10.46,19.06,Indian Food Nutrition dataset provided by user
IND-0346,Paneer potato cutlet (Paneer aloo cutlet),672.94,5.23,2.47,71.4,1.02,0.41,85.71,45.36,0.38,11.61,41.52,Indian Food Nutrition dataset provided by user
IND-0347,Spinach chickpeas cutlet (Palak channa dal cutlet),688.03,4.93,1.44,73.6,0.16,0.93,79.13,11.3,0.57,16.18,49.07,Indian Food Nutrition dataset provided by user
IND-0348,Cheese toast,785.37,5.49,1.98,84.11,0.53,0.31,121.05,43.87,0.31,0.0,6.85,Indian Food Nutrition dataset provided by user
IND-0349,Vegetable burger,519.93,13.69,3.26,50.63,1.88,1.7,168.97,26.08,0.7,24.68,40.96,Indian Food Nutrition dataset provided by user
IND-0350,Cheese pizza,249.5,30.62,5.79,12.43,3.42,1.95,397.73,96.51,1.09,6.72,15.85,Indian Food Nutrition dataset provided by user
IND-0351,Vegetable seekh kebab,690.73,5.32,1.57,73.72,0.74,0.59,83.67,32.66,0.36,6.86,13.84,Indian Food Nutrition dataset provided by user
IND-0352,Masala vada,826.02,4.06,1.69,89.15,0.24,1.07,74.53,7.45,0.52,2.05,32.14,Indian Food Nutrition dataset provided by user
IND-0353,Peanut sago vada (Sabudana mungfali vada),749.89,7.14,1.01,79.82,0.19,0.62,71.29,5.03,0.38,9.74,15.66,Indian Food Nutrition dataset provided by user
IND-0354,Vegeterian scotch egg,681.67,4.64,2.16,72.77,0.23,0.58,93.33,15.2,0.46,12.53,32.4,Indian Food Nutrition dataset provided by user
IND-0355,Paneer shaslik/tikka,93.85,7.98,5.11,4.49,4.61,1.23,103.39,123.86,0.68,107.71,174.74,Indian Food Nutrition dataset provided by user
IND-0356,Peanut brittle (Moongfali ki chikki),320.46,47.46,6.94,11.13,43.92,2.63,15.99,68.03,3.22,0.0,7.48,Indian Food Nutrition dataset provided by user
IND-0357,Spring roll,623.87,8.56,1.81,64.63,0.6,0.67,132.84,9.51,0.49,4.59,9.59,Indian Food Nutrition dataset provided by user
IND-0358,Dry mango chutney (Sookhe aam ki chutney),298.13,69.17,2.43,0.7,61.86,3.74,437.91,72.05,3.98,0.25,5.17,Indian Food Nutrition dataset provided by user
IND-0359,Peanut chutney (Mungfali ki chutney),258.37,9.87,11.8,19.06,2.76,5.73,475.34,34.79,1.99,4.2,10.14,Indian Food Nutrition dataset provided by user
IND-0360,Coconut chutney (Nariyal ki chutney),265.92,8.29,3.59,25.0,3.79,6.73,428.28,15.7,1.25,4.13,4.74,Indian Food Nutrition dataset provided by user
IND-0361,Mint and coriander chutney (Pudinay aur dhaniye ki chutney),102.6,21.18,2.81,0.51,15.88,4.33,391.66,107.45,4.76,3.62,10.89,Indian Food Nutrition dataset provided by user
IND-0362,Custard tart,225.6,28.66,3.72,10.73,9.31,0.91,59.74,57.47,0.49,1.18,5.64,Indian Food Nutrition dataset provided by user
IND-0363,Lemon tart,303.35,30.68,6.12,17.45,10.68,0.81,76.09,24.03,0.98,2.66,9.19,Indian Food Nutrition dataset provided by user
IND-0364,Jam tart,360.72,46.18,4.42,17.35,14.74,1.14,70.34,12.23,0.74,0.0,2.44,Indian Food Nutrition dataset provided by user
IND-0365,Orange cream tart,197.16,27.43,2.58,8.72,10.08,0.64,36.85,13.84,0.58,19.6,13.7,Indian Food Nutrition dataset provided by user
IND-0366,Pineapple tart,195.4,28.62,2.29,8.21,11.09,0.87,37.88,12.02,0.5,6.85,6.84,Indian Food Nutrition dataset provided by user
IND-0367,Cheese and mushroom tart,246.1,21.43,5.51,15.28,3.16,1.18,212.42,100.97,0.59,6.53,7.96,Indian Food Nutrition dataset provided by user
IND-0368,Cottage cheese pie,238.98,20.66,7.45,13.83,3.62,2.21,103.29,108.05,0.92,36.25,124.39,Indian Food Nutrition dataset provided by user
IND-0369,Minced meat pie,221.55,18.11,7.38,13.04,1.42,2.33,127.85,18.14,1.07,37.52,69.49,Indian Food Nutrition dataset provided by user
IND-0370,Apple cinnamon pie,258.73,33.68,3.35,12.21,11.95,1.77,60.14,16.14,0.65,2.24,11.58,Indian Food Nutrition dataset provided by user
IND-0371,Lemon meringue pie,224.43,35.11,3.88,8.16,21.17,0.44,85.12,16.79,0.67,5.1,17.48,Indian Food Nutrition dataset provided by user
IND-0372,Chocolate meringue pie,214.76,28.8,4.98,9.17,15.03,0.37,80.77,55.98,0.92,1.26,23.21,Indian Food Nutrition dataset provided by user
IND-0373,Cream puffs,221.33,16.0,4.7,15.48,5.94,0.38,98.76,37.93,0.58,0.2,8.79,Indian Food Nutrition dataset provided by user
IND-0374,Chocolate eclairs,239.42,26.22,4.24,13.5,17.34,0.33,85.88,34.21,0.68,0.4,18.34,Indian Food Nutrition dataset provided by user
IND-0375,Cheese balls,681.28,4.81,2.21,72.57,0.63,0.18,120.7,30.01,0.32,0.01,2.95,Indian Food Nutrition dataset provided by user
IND-0376,Minced meat patties,265.72,15.25,6.88,19.57,0.88,0.77,252.18,19.23,0.93,1.58,16.37,Indian Food Nutrition dataset provided by user
IND-0377,Cheese patties,324.01,22.23,7.38,22.67,3.93,1.24,295.22,126.41,0.82,3.37,31.43,Indian Food Nutrition dataset provided by user
IND-0378,Hot cheese souffle,177.1,5.41,9.18,13.23,2.91,0.12,286.96,169.17,0.83,2.41,66.94,Indian Food Nutrition dataset provided by user
IND-0379,Hot potato souffle,125.64,8.56,5.51,7.64,1.78,0.66,97.2,56.84,0.79,30.19,78.05,Indian Food Nutrition dataset provided by user
IND-0380,Hot fish souffle,142.92,3.69,11.23,9.24,1.68,0.1,110.94,58.18,0.7,2.41,70.97,Indian Food Nutrition dataset provided by user
IND-0381,Hot spinach souffle,104.25,4.19,5.43,7.24,1.64,0.99,104.69,80.77,1.67,47.83,272.44,Indian Food Nutrition dataset provided by user
IND-0382,Plain cream cake,353.94,47.18,6.18,16.17,27.74,0.71,174.0,41.95,1.02,0.08,8.66,Indian Food Nutrition dataset provided by user
IND-0383,Apple cake (Seb ka cake),290.08,39.48,4.94,12.87,23.52,1.22,136.95,38.99,0.9,1.16,9.32,Indian Food Nutrition dataset provided by user
IND-0384,Marble cake,354.11,46.88,6.3,16.27,27.56,0.71,138.48,39.6,1.12,0.08,8.85,Indian Food Nutrition dataset provided by user
IND-0385,Chocolate cake,335.61,45.14,6.01,15.18,27.58,0.64,241.93,41.13,1.08,0.15,9.21,Indian Food Nutrition dataset provided by user
IND-0386,Orange cake,357.61,48.28,6.1,16.21,28.38,0.83,105.41,29.72,1.06,1.88,9.25,Indian Food Nutrition dataset provided by user
IND-0387,Fruit Loaf,324.19,46.49,5.36,13.31,24.54,0.87,160.6,45.71,0.96,2.47,7.82,Indian Food Nutrition dataset provided by user
IND-0388,Banana cake (Kele ka cake),389.51,40.0,5.77,23.31,23.04,1.14,117.81,23.55,1.14,0.98,11.33,Indian Food Nutrition dataset provided by user
IND-0389,Chocolate chiffon cake,311.71,37.87,5.76,15.8,24.25,0.7,188.59,42.15,1.07,0.21,12.0,Indian Food Nutrition dataset provided by user
IND-0390,Christmas cake,372.95,48.29,5.49,16.88,27.45,1.49,64.84,40.98,1.32,8.51,17.06,Indian Food Nutrition dataset provided by user
IND-0391,Strawberry and vanilla cake with butter icing,370.54,44.25,3.89,20.39,32.43,0.79,107.27,28.17,0.7,8.4,12.8,Indian Food Nutrition dataset provided by user
IND-0392,Eggless cake,318.08,46.14,8.12,11.75,27.7,0.68,310.5,212.97,0.61,1.35,7.58,Indian Food Nutrition dataset provided by user
IND-0393,Swiss roll,251.87,48.34,7.3,3.77,32.96,0.55,51.9,24.11,1.19,0.0,14.36,Indian Food Nutrition dataset provided by user
IND-0394,Pineapple pastry,208.21,29.04,6.06,7.87,18.83,0.72,44.3,42.97,0.86,3.64,17.42,Indian Food Nutrition dataset provided by user
IND-0395,Black forest pastry,233.55,34.48,6.09,8.46,21.35,0.54,53.43,44.15,0.92,0.91,16.28,Indian Food Nutrition dataset provided by user
IND-0396,Coconut finger,274.86,42.56,7.09,8.86,28.55,1.87,46.86,24.04,1.31,0.0,15.88,Indian Food Nutrition dataset provided by user
IND-0397,Pineapple cake,195.57,23.51,5.01,9.34,16.16,0.76,37.47,49.06,0.64,27.35,80.64,Indian Food Nutrition dataset provided by user
IND-0398,Chocolate walnut cookies (Chocolate aur akhrot ke cookies),424.8,47.1,6.56,23.62,22.58,1.54,280.44,36.1,1.37,0.16,4.22,Indian Food Nutrition dataset provided by user
IND-0399,Chocolate chip cookies,425.29,57.98,5.79,19.38,30.29,1.05,278.29,24.76,1.22,0.0,2.62,Indian Food Nutrition dataset provided by user
IND-0400,Sweet plain biscuit,380.76,50.29,5.86,17.67,21.77,1.07,132.59,42.88,0.92,0.03,1.7,Indian Food Nutrition dataset provided by user
IND-0401,Chocolate biscuit,379.76,51.56,5.88,17.09,24.16,1.01,127.02,41.51,1.14,0.03,1.81,Indian Food Nutrition dataset provided by user
IND-0402,Coconut biscuit (Nariyal ke biscuit),434.98,42.9,5.78,27.16,20.76,3.64,105.76,37.81,1.32,0.03,2.51,Indian Food Nutrition dataset provided by user
IND-0403,Sweet and salty biscuit (Meethay aur namkeen biscuit),407.96,45.09,6.15,22.39,7.22,1.68,414.7,37.24,1.05,0.03,1.02,Indian Food Nutrition dataset provided by user
IND-0404,Peanut biscuit,401.05,46.72,8.45,20.41,21.26,2.48,202.26,50.58,1.34,0.03,4.23,Indian Food Nutrition dataset provided by user
IND-0405,Pin wheel biscuit,404.6,54.56,5.4,18.66,23.25,1.16,131.73,42.7,1.13,0.05,1.72,Indian Food Nutrition dataset provided by user
IND-0406,Saffron biscuit (Kesar biscuit),458.61,59.7,6.05,22.01,22.42,1.9,5.65,25.71,1.23,0.01,1.1,Indian Food Nutrition dataset provided by user
IND-0407,Masala biscuit,393.64,45.18,6.06,20.75,6.82,2.14,714.52,53.73,1.32,0.15,2.15,Indian Food Nutrition dataset provided by user
IND-0408,Ice box cookies,374.24,56.09,5.7,14.44,26.69,1.28,449.14,18.5,1.04,0.1,1.64,Indian Food Nutrition dataset provided by user
IND-0409,Ginger bread man,365.0,60.26,6.61,11.01,29.12,1.6,477.99,37.92,2.12,0.09,4.65,Indian Food Nutrition dataset provided by user
IND-0410,Danish cookies,475.33,58.0,5.33,24.92,21.73,1.37,201.06,15.97,0.98,0.0,1.02,Indian Food Nutrition dataset provided by user
IND-0411,Short bread cookies,443.09,64.82,6.03,17.98,23.31,1.57,145.0,15.92,1.12,0.0,1.62,Indian Food Nutrition dataset provided by user
IND-0412,Coffee biscuit,416.57,46.55,6.9,23.0,21.69,1.59,112.53,48.92,1.27,0.03,3.0,Indian Food Nutrition dataset provided by user
IND-0413,Melting moments,437.91,55.84,5.71,21.78,25.0,1.88,119.09,30.39,1.2,0.0,3.59,Indian Food Nutrition dataset provided by user
IND-0414,Ginger biscuit (Adarak ke biscuit),417.91,58.44,5.98,18.31,27.06,1.49,79.68,25.97,2.2,0.0,1.59,Indian Food Nutrition dataset provided by user
IND-0415,Soyabean muthias,839.33,3.7,2.46,90.45,0.17,1.47,78.25,12.16,0.6,0.79,22.43,Indian Food Nutrition dataset provided by user
IND-0416,Soyabean tikki,698.17,4.39,3.53,74.02,0.35,2.2,88.72,29.23,1.04,6.71,57.9,Indian Food Nutrition dataset provided by user
IND-0417,Soyabean namak paras,838.46,4.65,2.65,89.83,0.22,1.41,72.05,12.13,0.64,0.0,45.64,Indian Food Nutrition dataset provided by user
IND-0418,Peanut burfi (Moongfali ki burfi),550.99,48.14,9.31,36.84,43.08,4.09,6.78,25.2,1.45,0.0,7.57,Indian Food Nutrition dataset provided by user
IND-0419,Spinach peanut namak paras (Palak moongfali namak paras),740.16,6.62,1.65,78.51,0.28,0.81,73.15,13.35,0.67,11.39,64.2,Indian Food Nutrition dataset provided by user
IND-0420,Gram flour and semolina chilla/cheela/savory pancake (Besan suji chilla/cheela),758.89,7.63,2.08,80.04,0.25,1.39,74.88,12.13,0.67,3.8,34.83,Indian Food Nutrition dataset provided by user
IND-0421,Rice moong dal cheela (Chawal aur moong dal ka cheela),798.26,11.13,2.74,82.44,0.15,1.18,142.82,4.99,0.51,0.0,12.8,Indian Food Nutrition dataset provided by user
IND-0422,Split bengal gram sweet rice (Channa dal sweet rice),190.21,41.07,4.15,0.64,19.41,2.23,8.38,30.37,1.77,0.0,48.48,Indian Food Nutrition dataset provided by user
IND-0423,Sweet poori (Meethi poori),782.75,14.26,2.12,79.63,7.15,1.54,2.57,34.24,1.13,0.0,18.38,Indian Food Nutrition dataset provided by user
IND-0424,Wheat flour and moong dal burfi (Atta aur moong dal ki burfi),441.08,60.0,9.84,18.41,31.12,6.02,5.25,25.2,2.3,0.0,9.07,Indian Food Nutrition dataset provided by user
IND-0425,Spinach burfi (Palak burfi),121.17,12.76,2.71,6.81,12.12,1.17,27.77,93.68,1.05,8.57,39.63,Indian Food Nutrition dataset provided by user
IND-0426,Sweet split chickpea roti (Sweet channa dal roti/Puranpoli),366.59,62.66,9.51,7.93,24.73,8.16,12.05,53.3,4.36,0.0,27.67,Indian Food Nutrition dataset provided by user
IND-0427,Sprouted moong daliya,111.56,14.77,2.81,4.71,1.67,3.12,196.73,22.62,1.29,7.53,35.24,Indian Food Nutrition dataset provided by user
IND-0428,Sprouted moong poha,192.6,26.6,5.59,6.89,1.93,3.13,220.82,28.39,2.43,19.24,46.81,Indian Food Nutrition dataset provided by user
IND-0429,Pearl millet ladoo (Bajra ladoo),319.66,50.98,9.61,8.06,27.44,6.0,12.26,118.74,4.72,0.0,19.1,Indian Food Nutrition dataset provided by user
IND-0430,Paushtik ladoo,485.87,60.34,7.65,24.98,38.12,4.57,6.09,20.67,1.63,0.0,16.16,Indian Food Nutrition dataset provided by user
IND-0431,Paushtik roti,149.26,26.59,7.17,1.51,2.03,5.74,170.96,52.74,2.62,6.65,42.1,Indian Food Nutrition dataset provided by user
IND-0432,Semolina carrot vada (Suji gajar vada),699.53,6.52,1.56,74.07,1.21,1.07,73.17,26.47,0.36,0.95,9.36,Indian Food Nutrition dataset provided by user
IND-0433,Dhokla,216.49,30.68,13.45,5.28,4.78,4.95,376.02,123.21,1.39,0.68,39.92,Indian Food Nutrition dataset provided by user
IND-0434,Kashmiri tea (Kehwa),24.9,5.23,0.17,0.51,5.14,0.16,0.29,3.19,0.07,0.06,0.82,Indian Food Nutrition dataset provided by user
IND-0435,Steeped hot coffee,15.91,3.01,0.39,0.33,2.96,0.0,2.82,10.4,0.06,0.3,1.27,Indian Food Nutrition dataset provided by user
IND-0436,Hot chocolate,90.01,9.02,3.43,4.61,8.86,0.0,36.04,113.63,0.33,3.62,13.41,Indian Food Nutrition dataset provided by user
IND-0437,Cold coffee (with cream),82.76,11.98,1.93,3.29,11.91,0.0,15.35,64.43,0.14,2.56,9.52,Indian Food Nutrition dataset provided by user
IND-0438,Banana milkshake with ice cream (Kele ka milkshake ice cream ke saath),76.45,11.15,2.01,2.77,9.94,0.27,16.63,68.3,0.14,6.99,20.73,Indian Food Nutrition dataset provided by user
IND-0439,Flavoured milkshake,66.78,8.65,2.06,2.83,8.61,0.0,16.34,75.05,0.11,3.62,12.65,Indian Food Nutrition dataset provided by user
IND-0440,Jal jeera,30.24,6.7,0.44,0.26,5.71,0.95,215.62,24.72,0.84,2.23,4.47,Indian Food Nutrition dataset provided by user
IND-0441,Gingo,48.02,12.42,0.14,0.06,12.08,0.17,21.5,6.33,0.21,8.39,8.49,Indian Food Nutrition dataset provided by user
IND-0442,Mintade,40.32,10.59,0.03,0.02,10.47,0.03,26.69,2.1,0.05,8.5,4.69,Indian Food Nutrition dataset provided by user
IND-0443,Canjee,6.61,0.44,0.24,0.42,0.21,0.36,43.03,5.82,0.17,0.52,3.61,Indian Food Nutrition dataset provided by user
IND-0444,Cauliflower canjee (Phoolgobhi ki canjee),6.9,0.35,0.39,0.42,0.09,0.49,41.45,6.26,0.22,7.86,9.26,Indian Food Nutrition dataset provided by user
IND-0445,Potato canjee (Aloo canjee),16.26,2.69,0.44,0.39,0.1,0.43,35.99,5.21,0.22,7.72,6.77,Indian Food Nutrition dataset provided by user
IND-0446,Vermicelli porridge (Semiya/Seviyan porridge),78.4,10.56,2.5,2.98,7.04,0.48,65.33,72.96,0.2,4.82,19.51,Indian Food Nutrition dataset provided by user
IND-0447,Semolina upma (Suji/Rava upma),147.89,16.31,3.3,7.49,1.31,3.24,101.59,21.57,1.1,4.64,15.13,Indian Food Nutrition dataset provided by user
IND-0448,Vermicelli upma (Semiya/Seviyan upma),149.11,16.88,3.11,7.45,1.4,3.21,101.8,20.3,0.93,4.64,12.64,Indian Food Nutrition dataset provided by user
IND-0449,Rice upma,151.27,17.96,2.63,7.46,1.13,2.12,101.75,17.57,0.67,4.64,11.94,Indian Food Nutrition dataset provided by user
IND-0450,Bread upma,129.51,12.6,2.8,7.75,1.56,1.96,176.44,45.22,0.82,4.64,15.79,Indian Food Nutrition dataset provided by user
IND-0451,Vegetable upma,146.47,16.46,4.73,6.63,1.39,4.19,347.02,26.68,1.35,14.42,50.48,Indian Food Nutrition dataset provided by user
IND-0452,Poha,294.53,35.05,6.09,14.14,0.87,3.72,377.1,37.67,3.01,6.62,11.96,Indian Food Nutrition dataset provided by user
IND-0453,Vegetable poha,180.52,21.52,4.89,8.07,1.4,3.76,418.02,28.01,1.92,7.21,21.79,Indian Food Nutrition dataset provided by user
IND-0454,Moong dal stuffed cheela/chilla (Moong dal ka cheela/chilla),154.89,19.42,6.97,5.11,1.11,4.25,267.23,39.34,2.22,34.81,79.95,Indian Food Nutrition dataset provided by user
IND-0455,Paneer stuffed cheela/chilla,205.19,19.16,11.44,8.89,3.81,4.03,289.1,151.3,2.41,19.76,116.52,Indian Food Nutrition dataset provided by user
IND-0456,Indian style egg bhujia (Anda bhujia (Indian style)),102.83,3.76,6.1,7.02,1.95,1.53,218.05,31.9,1.14,13.56,40.85,Indian Food Nutrition dataset provided by user
IND-0457,French omelette/omlet,211.04,0.41,10.03,18.86,0.1,0.38,381.85,46.35,1.58,0.48,25.79,Indian Food Nutrition dataset provided by user
IND-0458,Puffy omelette/omlet,188.15,0.08,8.82,16.84,0.08,0.0,340.53,34.96,1.2,0.0,24.66,Indian Food Nutrition dataset provided by user
IND-0459,Orange omelette/omlet,194.66,1.68,8.93,16.84,1.68,0.0,340.92,37.33,1.26,7.2,28.86,Indian Food Nutrition dataset provided by user
IND-0460,Cheese and mushroom omelette/omlet,205.63,1.68,9.69,17.82,1.07,0.93,400.29,148.77,1.01,0.48,32.02,Indian Food Nutrition dataset provided by user
IND-0461,Spanish omelette/omlet,157.45,5.1,8.25,11.44,1.03,2.54,233.87,31.72,1.28,28.63,61.18,Indian Food Nutrition dataset provided by user
IND-0462,Mixed stock,25.19,0.33,2.06,1.71,0.2,0.15,9.51,2.06,0.07,2.58,16.58,Indian Food Nutrition dataset provided by user
IND-0463,Meat stock,24.48,0.0,2.1,1.78,0.0,0.0,8.62,0.86,0.05,0.0,6.0,Indian Food Nutrition dataset provided by user
IND-0464,White stock,6.99,0.4,0.07,0.56,0.24,0.17,1.56,1.58,0.03,2.58,10.58,Indian Food Nutrition dataset provided by user
IND-0465,Meat consomme (with mutton),29.76,0.51,14.86,13.68,0.24,0.71,12665.52,115.88,4.22,2.44,15.49,Indian Food Nutrition dataset provided by user
IND-0466,Consomme au julienne,27.76,1.49,12.49,10.66,0.83,1.38,10208.47,85.89,3.34,11.77,55.26,Indian Food Nutrition dataset provided by user
IND-0467,Consomme au vermicelli,29.94,1.3,15.23,12.98,0.27,0.81,12524.61,97.34,3.98,2.44,20.12,Indian Food Nutrition dataset provided by user
IND-0468,Green pea soup (Matar ka soup),39.81,3.63,11.06,12.9,0.87,2.49,10958.11,46.63,2.18,41.12,65.46,Indian Food Nutrition dataset provided by user
IND-0469,Spinach soup (Palak ka soup),32.59,3.03,10.54,14.26,0.29,1.98,12088.21,56.23,2.68,30.99,150.94,Indian Food Nutrition dataset provided by user
IND-0470,Mixed vegetable soup,35.71,2.95,8.22,11.66,1.64,1.64,9202.27,50.69,1.74,20.06,31.61,Indian Food Nutrition dataset provided by user
IND-0471,Cheese soup,41.13,1.87,12.39,17.07,0.84,1.8,13695.35,83.65,2.4,5.29,20.27,Indian Food Nutrition dataset provided by user
IND-0472,Mulligatawny soup,54.42,8.24,11.26,13.28,1.26,2.6,11602.5,43.89,2.65,8.37,27.88,Indian Food Nutrition dataset provided by user
IND-0473,Cream of carrot soup,59.77,5.69,8.27,12.35,1.77,1.98,8694.79,57.24,1.73,10.68,37.89,Indian Food Nutrition dataset provided by user
IND-0474,Cream of broccoli soup,56.14,3.72,8.97,12.75,1.59,1.89,8792.43,66.55,1.82,68.91,94.43,Indian Food Nutrition dataset provided by user
IND-0475,Cream of potato soup,60.2,6.14,8.1,12.05,1.24,1.51,8503.99,51.97,1.7,28.86,33.19,Indian Food Nutrition dataset provided by user
IND-0476,Almond soup (Badam ka soup),78.65,3.68,10.13,13.8,1.94,0.91,8376.94,114.95,2.83,7.68,38.67,Indian Food Nutrition dataset provided by user
IND-0477,Cold cucumber cream soup,11.88,1.76,0.34,0.34,0.51,0.73,207.89,8.02,0.16,14.72,24.84,Indian Food Nutrition dataset provided by user
IND-0478,Cold tomato soup,16.9,0.59,0.11,1.56,0.22,0.16,287.15,4.2,0.1,10.09,5.63,Indian Food Nutrition dataset provided by user
IND-0479,Chicken stew,127.55,4.44,7.19,8.91,1.43,1.82,79.62,31.53,0.9,20.89,36.31,Indian Food Nutrition dataset provided by user
IND-0480,Veg paneer stew,145.55,10.22,6.98,8.41,4.85,3.08,73.15,160.51,1.37,32.41,102.72,Indian Food Nutrition dataset provided by user
IND-0481,Onion-green chilli parantha/paratha (Pyaaz aur hari mirch ka parantha/paratha),191.27,26.37,4.37,7.27,2.71,5.16,241.19,24.91,1.81,3.05,16.17,Indian Food Nutrition dataset provided by user
IND-0482,Methi parantha/paratha,148.36,22.19,4.27,4.34,2.44,5.09,48.36,65.85,2.42,12.63,28.46,Indian Food Nutrition dataset provided by user
IND-0483,Bathua poori,598.79,13.85,2.35,59.14,0.41,1.87,49.71,30.83,0.96,4.56,8.77,Indian Food Nutrition dataset provided by user
IND-0484,Gram flour poori (Besan poori),697.66,10.93,2.59,71.51,0.35,1.94,58.33,7.09,0.71,0.0,11.18,Indian Food Nutrition dataset provided by user
IND-0485,Beetroot poori (Chukandar ki poori),527.66,12.29,1.91,52.18,0.54,1.4,46.48,5.38,0.6,0.29,9.45,Indian Food Nutrition dataset provided by user
IND-0486,Peas poori (Matar ki poori),592.83,14.92,3.04,57.69,0.48,2.25,47.77,8.96,0.84,4.61,10.21,Indian Food Nutrition dataset provided by user
IND-0487,Peas kachori (Matar kachori),584.68,13.25,3.21,57.51,0.5,2.03,55.45,14.25,0.77,10.11,16.43,Indian Food Nutrition dataset provided by user
IND-0488,Pizza,146.77,9.94,6.85,8.72,1.38,1.71,225.02,77.23,0.66,42.9,87.58,Indian Food Nutrition dataset provided by user
IND-0489,Bacon and mushroom pancake,157.67,8.47,6.82,10.6,1.23,1.59,344.23,44.74,0.54,1.91,14.58,Indian Food Nutrition dataset provided by user
IND-0490,Cheese and tomato pancake,147.39,10.66,5.15,9.28,3.48,1.06,281.62,127.51,0.64,9.72,16.52,Indian Food Nutrition dataset provided by user
IND-0491,Minced meat pancake (with chicken),116.04,8.18,12.01,10.48,1.29,0.7,4942.18,64.72,1.99,2.14,12.77,Indian Food Nutrition dataset provided by user
IND-0492,Eggplant/Brinjal rice (Vangi bhat),184.8,31.74,5.28,3.67,4.36,4.44,59.06,36.02,1.91,3.23,77.11,Indian Food Nutrition dataset provided by user
IND-0493,Kashmiri 'tahar',98.21,19.11,1.95,1.37,0.17,0.98,61.29,3.93,0.32,0.02,7.94,Indian Food Nutrition dataset provided by user
IND-0494,Cumin pulao (Jeera/Zeera pulao),135.24,23.61,2.47,3.2,0.64,1.4,219.73,7.25,0.33,1.42,13.85,Indian Food Nutrition dataset provided by user
IND-0495,Peas pulao (Matar pulao),108.87,18.42,3.89,1.9,1.3,3.21,86.18,18.18,0.78,62.36,110.56,Indian Food Nutrition dataset provided by user
IND-0496,Split bengal gram dal and vegetable pulao (Channa dal and vegetable pulao),116.53,19.72,3.6,2.3,1.59,3.16,98.07,19.09,0.82,27.07,104.21,Indian Food Nutrition dataset provided by user
IND-0497,Black channa pulao/ Bengal gram pulao (Kale chane ka pulao),125.51,21.55,3.44,2.58,1.99,2.69,103.09,16.51,0.77,8.11,88.34,Indian Food Nutrition dataset provided by user
IND-0498,Mutton pulao,130.77,11.26,6.52,10.78,1.0,1.65,3115.59,49.87,1.25,4.47,39.34,Indian Food Nutrition dataset provided by user
IND-0499,Chicken pulao,108.24,11.17,6.07,8.48,0.99,1.64,3093.47,32.25,0.98,4.47,38.7,Indian Food Nutrition dataset provided by user
IND-0500,Mexican rice,120.57,14.21,4.62,4.88,1.44,1.64,93.42,14.51,0.55,42.71,53.09,Indian Food Nutrition dataset provided by user
IND-0501,Plain khitchdi (Plain khichri/khichdi),57.03,10.04,1.72,1.01,0.12,0.85,37.14,5.05,0.31,0.83,26.18,Indian Food Nutrition dataset provided by user
IND-0502,Instant idli (with semolina),247.29,43.4,9.16,3.61,3.35,7.13,1504.66,93.2,2.31,0.14,9.08,Indian Food Nutrition dataset provided by user
IND-0503,Plain dosa,380.91,64.08,10.34,8.43,0.7,5.23,142.98,19.35,1.5,0.0,9.16,Indian Food Nutrition dataset provided by user
IND-0504,Masala dosa mixed vegetable fillings,144.53,23.02,4.84,3.26,1.53,4.31,122.08,31.79,1.21,52.07,89.33,Indian Food Nutrition dataset provided by user
IND-0505,Masala dosa paneer fillings,243.12,29.76,10.31,8.84,4.81,3.11,160.4,171.23,1.27,11.5,94.26,Indian Food Nutrition dataset provided by user
IND-0506,Uttapam,255.95,36.28,6.18,9.03,1.5,4.4,228.69,40.86,1.23,6.15,19.02,Indian Food Nutrition dataset provided by user
IND-0507,Appam,267.7,13.28,3.12,22.63,4.16,6.19,26.59,6.36,0.83,2.57,27.59,Indian Food Nutrition dataset provided by user
IND-0508,Beans and macaroni,136.08,14.24,4.58,7.01,1.68,2.05,182.79,86.86,0.75,16.54,82.63,Indian Food Nutrition dataset provided by user
